post_id,text,source_domain,account_age_days,follower_count,following_count,repost_count_1h,distinct_accounts_1h,has_link,label
1,"BREAKING: Secret document proves the new vaccine changes your DNA. Share before it is deleted!!!",unknown-news.info,5,23,840,620,41,1,1
2,"The city health department announced free flu shots at public clinics this weekend. Details are on the official website.",health.gov,1450,5200,310,85,80,1,0
3,"Doctors hate this one miracle drink that cures diabetes in seven days. No prescription needed.",miracle-cure.biz,12,48,980,310,26,1,1
4,"NASA reports that tonight's meteor shower may be visible after midnight if the sky is clear.",nasa.gov,3800,91000,400,120,110,1,0
5,"Everyone knows the election machines were secretly hacked, but mainstream media refuses to report it.",patriot-update.net,21,75,1200,540,33,1,1
6,"Local police confirmed that the missing child alert circulating last week was resolved and asked users to stop sharing old posts.",police.gov,2100,18400,220,45,43,1,0
7,"This photo proves the earthquake was caused by a government weather weapon. Wake up people!!!",truth-now.info,8,31,740,490,38,1,1
8,"University researchers published a peer-reviewed study on sleep quality and phone use among teenagers.",university.edu,2600,12700,500,64,60,1,0
9,"A celebrity died after taking a common vitamin, according to anonymous hospital staff.",celebrity-rumors.co,4,19,1600,720,29,1,1
10,"The transport department will close two subway exits for maintenance from Monday to Wednesday.",transport.gov,1700,30000,250,52,50,1,0
11,"You will not believe what this food company hides in every product. This toxic ingredient is banned everywhere.",viral-alerts.com,18,60,990,430,30,1,1
12,"The weather observatory issued a yellow rain warning and advised residents to check official updates.",weather.gov,3000,76000,300,98,92,1,0
13,"A screenshot says banks will freeze all savings tomorrow. Withdraw cash now before it is too late.",financeleak.info,2,11,650,880,44,1,1
14,"A hospital spokesperson said visiting hours will change during renovation work next month.",hospital.org,2400,12000,260,33,31,1,0
15,"Scientists finally admit that climate change is a hoax, says a deleted video no one wants you to see.",freeenergy-news.net,16,42,1120,610,37,1,1
16,"The education bureau released the official school calendar for the coming academic year.",education.gov,2800,44000,180,40,38,1,0
17,"This investment app guarantees 50 percent profit every week. Join now because only 100 slots remain.",fast-profit.biz,30,100,2100,970,59,1,1
18,"The central bank reminded consumers that guaranteed investment returns are usually a sign of fraud.",centralbank.gov,3600,81000,290,77,72,1,0
19,"A forwarded message claims drinking hot water every 15 minutes kills all viruses in the throat.",chain-message.net,1,8,500,760,28,0,1
20,"The public library announced extended opening hours during the examination period.",library.org,1900,6300,150,22,21,1,0
21,"Big pharmacies do not want people to know that lemon peel cures cancer naturally.",natural-secret.co,11,37,870,330,24,1,1
22,"The fire department posted verified safety advice for using heaters during winter.",fire.gov,2500,54000,170,55,54,1,0
23,"SHARE NOW: A new law will ban private cars next week, but officials are hiding it.",freedom-feed.info,6,29,930,680,31,1,1
24,"The legislature published the full text of the proposed transport bill and opened a public comment period.",legislature.gov,3100,39000,230,36,35,1,0
25,"An anonymous insider says a popular phone brand listens through the camera even when powered off.",tech-leaks.co,9,51,1300,400,25,1,1
26,"The manufacturer released a security update after researchers disclosed a Bluetooth vulnerability.",manufacturer.com,2200,25000,260,48,45,1,0
27,"Parents are panicking after a viral post says school lunch contains plastic rice.",rumor-daily.com,7,33,890,520,27,1,1
28,"The school posted the lunch supplier inspection report and confirmed no plastic contamination was found.",school.edu,1600,7400,180,30,29,1,0
29,"Hidden camera footage proves all bottled water is poisonous. The video was removed by authorities.",conspiracy-lab.info,14,46,970,590,32,1,1
30,"A consumer council report compared bottled water brands and found all tested samples met safety standards.",consumer-council.org,2600,35000,240,61,58,1,0
31,"Urgent warning from a nurse: do not go outside tomorrow because toxic gas will cover the city.",forwarded-chat.net,3,15,430,700,23,0,1
32,"The environment department said air quality is expected to be normal tomorrow based on monitoring station data.",environment.gov,3300,42000,210,44,43,1,0
33,"This ancient powder reverses aging overnight. The proof is being suppressed by doctors.",wellness-secret.biz,20,70,1550,460,34,1,1
34,"A medical journal article reported early-stage lab results and warned that human trials are still needed.",medicaljournal.org,2900,18000,190,27,26,1,0
35,"They are deleting posts about the secret food shortage. Buy rice today before supermarkets close.",panic-posts.info,2,17,760,820,36,1,1
36,"The supermarket chain announced normal operating hours and published inventory updates during the holiday.",supermarket.com,1400,15000,160,40,39,1,0
